frame,random,model_0 ,bc,bc2,Run_20_000,Run_50_000
10,0,0,0,0,0,0
20,0,0,0,0,0,0
30,0,0,0,0,0,0
40,0,0,0,0,0,0
50,0,0,0,0,0,0
60,0,0,0,0,0,0
70,0,0,0,0,0,0
80,0,0,0,0,0,0
90,0,0,0,0,0,0
100,0,0,0,0,0,0
110,0,0,0,0,0,0
120,0,0,0,0,0,0
130,0,0,20,20,0,0
140,0,0,20,40,0,0
150,40,0,20,40,0,0
160,40,0,20,160,40,0
170,40,0,20,160,40,0
180,40,20,20,180,80,20
190,40,20,20,200,80,20
200,60,20,20,200,200,20
210,60,60,20,420,200,60
220,60,60,20,420,220,60
230,60,60,20,420,220,60
240,60,60,20,420,220,60
250,60,60,20,420,220,60
260,60,60,20,420,220,60
270,60,60,20,420,260,60
280,60,60,20,460,300,80
290,60,60,20,460,300,80
300,60,60,20,500,300,80
310,60,60,20,940,300,80
320,60,60,20,940,440,100
330,60,60,20,980,440,100
340,80,60,20,980,460,100
350,100,60,20,1020,460,220
360,100,60,20,1860,460,220
370,240,60,20,1860,460,260
380,240,60,20,1860,460,260
390,240,60,20,1860,460,260
400,260,60,20,1860,460,260
410,260,60,20,1860,460,260
420,280,60,20,1860,460,280
430,280,60,40,1880,460,420
440,280,80,40,1900,460,420
450,280,80,40,1900,460,480
460,280,80,40,1900,460,720
470,280,80,40,1900,480,720
480,500,80,40,3520,480,720
490,500,80,40,3520,480,720
500,500,80,40,3520,480,720
510,500,80,40,3520,480,720
520,500,80,40,3520,480,720
530,500,80,40,3520,480,720
540,580,100,40,3520,560,720
550,580,100,40,3560,700,720
560,1020,100,40,3560,700,720
570,1060,100,40,3560,740,720
580,1080,100,40,3560,820,720
590,1080,100,40,3600,1020,720
600,1080,100,40,3600,1020,720
610,1080,100,40,3600,1020,720
620,1080,100,40,3600,1020,720
630,1080,100,40,3600,1020,720
640,1080,140,40,3600,1020,720
650,1120,140,40,6840,1060,720
660,1120,140,40,6840,1060,720
670,1160,160,40,6880,1100,760
680,1160,160,40,6880,1100,760
690,1300,180,40,6920,1520,760
700,1300,200,40,6920,1520,760
710,1380,320,40,13360,1520,760
720,1600,320,40,13360,1520,760
730,2040,360,40,13400,1540,760
740,2040,360,40,13400,1540,760
750,2060,400,40,13440,1560,760
760,2060,400,40,13440,1560,780
770,2060,400,40,13440,2400,780
780,2060,400,40,13440,2400,1220
790,2060,400,40,13440,2480,1260
800,2060,640,40,13440,2480,2100
810,2060,640,40,13440,2480,2100
820,2060,640,40,13440,2480,2160
830,2060,680,40,13440,2480,3860
840,2060,1160,40,13440,2480,7140
850,2080,1160,40,13440,2480,7180
860,2080,1160,40,13440,2480,7180
870,2080,1160,40,13440,2480,7180
880,2900,1200,40,13440,2480,7180
890,2900,1200,40,13440,2480,7180
900,2900,1200,40,13440,2480,7180
910,2900,1200,40,13440,2480,7180
920,2900,1200,40,13440,2480,7180
930,2900,1200,40,13440,2480,7180
940,2900,1200,40,13440,2480,7180
950,2900,1200,40,13440,2480,7180
960,2900,1200,40,13440,4120,13620
970,2940,1200,40,13440,4120,13700
980,4700,1200,40,13440,4120,13700
990,4700,1200,40,13440,4160,13700
1000,4700,1200,40,13440,4160,26540
1010,4700,1200,40,13440,7380,26540
1020,4700,1200,40,13440,7420,26540
1030,4700,1200,40,13440,13860,26540
1040,4700,1200,40,13440,13860,26540
1050,4700,1200,40,13440,26740,26540
1060,4700,1200,40,13440,26740,26540
1070,4700,1200,40,13440,26740,26540
1080,4700,1200,40,13440,26740,26540
1090,4700,1200,40,13440,26740,26540
1100,4700,1200,40,13440,26740,26540
1110,4700,1200,40,13440,26740,26540
1120,4700,1200,40,13440,26740,26540
1130,4700,1200,40,13440,26740,26540
1140,4700,1200,40,13440,26740,26540
1150,4700,1200,40,13440,26740,26540
1160,4700,1200,40,13440,26740,26540
1170,4700,1200,40,13440,26740,26540
1180,4700,1200,40,13440,26740,26540
1190,4700,1200,40,13440,26740,26540
1200,4700,1200,40,13440,26740,26540
1210,4700,1200,40,13440,26740,26540
1220,4700,1200,40,13440,26740,26540
1230,4700,1200,40,13440,26740,26540
1240,4700,1200,40,13440,26740,26540
1250,4700,1200,40,13440,26740,26540
1260,4700,1200,40,13440,26740,26540
1270,4700,1200,40,13440,26740,26540
1280,4700,1200,40,13440,26740,26540
1290,4700,1200,40,13440,26740,26540
1300,4700,1200,40,13440,26740,26540
1310,4700,1200,40,13440,26740,26540
1320,4700,1200,40,13440,26740,26540
1330,4700,1200,40,13440,26740,26540
1340,4700,1200,40,13440,26740,26540
1350,4700,1200,40,13440,26740,26540
1360,4700,1200,40,13440,26740,26540
1370,4700,1200,40,13440,26740,26540
1380,4700,1200,40,13440,26740,26540
1390,4700,1200,40,13440,26740,26540
1400,4700,1200,40,13440,26740,26540
1410,4700,1200,40,13440,26740,26540
1420,4700,1200,40,13440,26740,26540
1430,4700,1200,40,13440,26740,26540
1440,4700,1200,40,13440,26740,26540
1450,4700,1200,40,13440,26740,26540
1460,4700,1200,40,13440,26740,26540
1470,4700,1200,40,13440,26740,26540
1480,4700,1200,40,13440,26740,26540
1490,4700,1200,40,13440,26740,26540
1500,4700,1200,40,13440,26740,26540
1510,4700,1200,40,13440,26740,26540
1520,4700,1200,40,13440,26740,26540
1530,4700,1200,40,13440,26740,26540
1540,4700,1200,40,13440,26740,26540
1550,4700,1200,40,13440,26740,26540
1560,4700,1200,40,13440,26740,26540
1570,4700,1200,40,13440,26740,26540
1580,4700,1200,40,13440,26740,26540
1590,4700,1200,40,13440,26740,26540
1600,4700,1200,40,13440,26740,26540
1610,4700,1200,40,13440,26740,26540
1620,4700,1200,40,13440,26740,26540
1630,4700,1200,40,13440,26740,26540
1640,4700,1200,40,13440,26740,26540
1650,4700,1200,40,13440,26740,26540
1660,4700,1200,40,13440,26740,26540
1670,4700,1200,40,13440,26740,26540
1680,4700,1200,40,13440,26740,26540
1690,4700,1200,40,13440,26740,26540
1700,4700,1200,40,13440,26740,26540
1710,4700,1200,40,13440,26740,26540
1720,4700,1200,40,13440,26740,26540
1730,4700,1200,40,13440,26740,26540
1740,4700,1200,40,13440,26740,26540
1750,4700,1200,40,13440,26740,26540
1760,4700,1200,40,13440,26740,26540
1770,4700,1200,40,13440,26740,26540
1780,4700,1200,40,13440,26740,26540
1790,4700,1200,40,13440,26740,26540
1800,4700,1200,40,13440,26740,26540
1810,4700,1200,40,13440,26740,26540
1820,4700,1200,40,13440,26740,26540
1830,4700,1200,40,13440,26740,26540
1840,4700,1200,40,13440,26740,26540
1850,4700,1200,40,13440,26740,26540
1860,4700,1200,40,13440,26740,26540
1870,4700,1200,40,13440,26740,26540
1880,4700,1200,40,13440,26740,26540
1890,4720,1200,40,13440,26740,26540
1900,4720,1200,40,13440,26740,26540
1910,4720,1200,40,13440,26740,26540
1920,4720,1200,40,13440,26740,26540
1930,4840,1200,40,13440,26740,26540
1940,4880,1200,40,13440,26740,26540
1950,4920,1200,40,13440,26740,26540
1960,4920,1220,80,13580,26740,26720
1970,4920,1320,80,13660,26740,26880
1980,4920,1340,80,13740,26740,26960
1990,4920,1340,80,13840,26740,27040
2000,4920,1340,80,13840,26740,27040
2010,4920,1340,80,13840,26740,27040
2020,4920,1340,80,13840,26740,27040
2030,4920,1340,80,13840,26740,27040
2040,4920,1340,80,13880,26740,27040
2050,4920,1340,80,13940,26740,27040
2060,4920,1340,80,13980,26740,27040
2070,4920,1340,80,14140,26740,27040
2080,4920,1340,80,14140,26740,27040
2090,4920,1340,80,14340,26740,27080
2100,4920,1340,80,14380,26740,27080
2110,4920,1340,80,14540,26740,27080
2120,4920,1340,80,14540,26740,27080
2130,4920,1340,80,14540,26740,27080
2140,4920,1340,80,14540,26740,27080
2150,4920,1340,80,14540,26780,27080
2160,4920,1340,120,14540,26780,27080
2170,4940,1340,160,14620,26780,27080
2180,4940,1340,160,14940,26780,27080
2190,4940,1340,160,14940,26780,27080
2200,4940,1340,200,14940,26780,27080
2210,4940,1420,200,14940,26780,27080
2220,4980,1560,200,14940,26780,27080
2230,5060,1600,200,14940,26800,27080
2240,5060,1680,200,14940,26800,27080
2250,5060,1720,200,14940,26800,27080
2260,5060,1760,200,14940,26800,27080
2270,5080,1760,200,14940,26800,27080
2280,5180,1760,200,14940,26800,27080
2290,5260,1800,200,14940,26800,27080
2300,5360,1800,200,14940,26800,27080
2310,5360,1800,200,14940,26800,27080
2320,5360,1800,200,14940,26800,27080
2330,5360,1800,200,14940,26800,27080
2340,5360,2060,200,14940,26800,27080
2350,5360,2060,200,14940,26800,27080
2360,5360,2060,200,14940,26800,27080
2370,5360,2060,200,14940,26800,27080
2380,5360,2060,200,14940,26800,27080
2390,5360,2060,200,14940,26800,27080
2400,5360,2060,200,14940,26800,27140
2410,5360,2060,200,14940,26800,27200
2420,5360,2060,200,14940,26800,27200
2430,5360,2060,200,14940,26800,27200
2440,5360,2060,200,14940,26800,27200
2450,5360,2060,200,14940,26840,27200
2460,5360,2060,200,14940,26840,27200
2470,5360,2060,200,14940,26840,27200
2480,5360,2060,200,14940,26840,27200
2490,5360,2060,200,14940,26840,27200
2500,5360,2060,200,14940,26840,27200
2510,5360,2060,200,14940,26840,27200
2520,5360,2060,200,14940,26840,27200
2530,5360,2060,200,14940,26840,27200
2540,5360,2060,200,14940,26840,27200
2550,5360,2060,200,14940,26840,27200
2560,5360,2060,200,14940,26840,27200
2570,5360,2060,200,14940,26840,27200
2580,5360,2060,200,14940,26840,27200
2590,5360,2060,200,14940,26840,27200
2600,5360,2120,200,14940,26840,27200
2610,5360,2200,200,14940,26840,27200
2620,5360,2200,200,14940,26840,27200
2630,5360,2200,200,14940,26840,27200
2640,5360,2200,200,14940,26840,27200
2650,5360,2200,200,14940,26840,27200
2660,5360,2200,200,14940,26840,27200
2670,5360,2200,200,14940,26840,27200
2680,5360,2200,200,14940,26840,27200
2690,5360,2200,200,14940,26840,27200
2700,5360,2200,200,14940,26840,27200
2710,5360,2200,200,14940,26840,27200
2720,5360,2200,200,14940,26840,27200
2730,5360,2200,200,14940,26840,27200
2740,5360,2200,200,14940,26840,27200
2750,5360,2200,200,14940,26900,27200
2760,5360,2200,200,15140,27060,27200
2770,5480,2200,200,15220,27300,27200
2780,5560,2200,200,15340,27340,27320
2790,5560,2200,200,15340,27340,27320
2800,5560,2200,200,15340,27340,27320
2810,5560,2200,200,15340,27340,27400
2820,5560,2200,200,15340,27340,27440
2830,5560,2200,200,15340,27340,27440
2840,5560,2200,200,15380,27340,27560
2850,5560,2200,200,15500,27340,27560
2860,5560,2200,200,15940,27340,27600
2870,5560,2200,200,15940,27340,27680
2880,5560,2200,200,15940,27340,27680
2890,5560,2200,200,15940,27340,27680
2900,5560,2200,200,15940,27340,27680
2910,5560,2200,200,15940,27340,27680
2920,5560,2200,200,15940,27340,27680
2930,5560,2200,200,15940,27340,27680
2940,5580,2200,200,15940,27340,27680
2950,5580,2200,200,15940,27340,27680
2960,5680,2200,200,15940,27340,27680
2970,5760,2200,200,15940,27340,27680
2980,5760,2200,200,15940,27340,27680
2990,5760,2200,200,15940,27340,27680
3000,5760,2200,200,15940,27340,27680
3010,5760,2200,200,15940,27340,27680
3020,5760,2200,200,15940,27340,27680
3030,5760,2200,200,15940,27340,27680
3040,5760,2200,200,15940,27340,27680
3050,5760,2200,200,15940,27340,27680
3060,5760,2200,200,15940,27340,27680
3070,5760,2200,200,15940,27340,27680
3080,5760,2200,200,15940,27340,27680
3090,5760,2200,200,15940,27340,27680
3100,5760,2200,200,15940,27340,27680
3110,5760,2200,200,15940,27340,27680
3120,5760,2200,200,15940,27340,27680
3130,5760,2200,200,15940,27340,27680
3140,5760,2240,200,15940,27340,27680
3150,5760,2400,200,15940,27340,27680
3160,5760,2400,200,15940,27340,27680
3170,5760,2400,200,15940,27340,27680
3180,5760,2400,200,15940,27340,27680
3190,5760,2400,200,15940,27340,27680
3200,5760,2400,200,15940,27340,27680
3210,5760,2400,200,15940,27340,27680
3220,5760,2400,200,15940,27340,27680
3230,5760,2400,200,15940,27340,27680
3240,5760,2400,200,15940,27340,27680
3250,5760,2400,200,15940,27340,27680
3260,5760,2400,200,15940,27340,27680
3270,5760,2400,200,15940,27340,27680
3280,5760,2400,200,15940,27340,27680
3290,5760,2400,200,15940,27340,27680
3300,5760,2400,200,15940,27340,27680
3310,5760,2400,200,15940,27340,27680
3320,5760,2400,200,15940,27340,27680
3330,5760,2400,200,15940,27340,27680
3340,5760,2400,200,15940,27340,27680
3350,5760,2400,200,15940,27380,27680
3360,5760,2400,200,15940,27380,27680
3370,5780,2400,200,16140,27380,27680
3380,5780,2400,200,16180,27380,27680
3390,5820,2400,200,16300,27380,27680
3400,5900,2400,200,16340,27380,27720
3410,5920,2400,200,16340,27380,27920
3420,5920,2400,200,16340,27380,28060
3430,5960,2400,200,16340,27380,28060
3440,6080,2400,400,16340,27380,28060
3450,6120,2400,700,16540,27380,28060
3460,6140,2400,1000,16640,27380,28060
3470,6140,2400,1400,16940,27400,28060
3480,6140,2400,1700,17340,27460,28060
3490,6140,2400,2100,17840,28120,28060
3500,6140,2400,2500,18140,28420,28060
3510,6140,2400,2700,18440,28460,28060
3520,6140,2400,2800,18740,28520,28060
3530,6140,2400,2900,19040,28560,28560
3540,6140,2440,2900,19040,28760,28660
3550,6140,2580,2900,19040,28760,28700
3560,6140,2600,2900,19040,28760,29020
3570,6140,2600,2900,19040,28760,29420
3580,6140,2600,2900,19040,28760,29420
3590,6140,2600,2900,19040,28760,29420
3600,6140,2600,2900,19040,28760,29460
3610,6140,2800,2900,19040,28760,29460
3620,6140,2800,2900,19040,28760,29460
3630,6140,2800,2900,19040,28760,29480
3640,6140,2800,2900,19040,28760,29480
3650,6140,2800,2900,19040,28760,29480
3660,6140,2800,2900,19040,28760,29480
3670,6140,2800,2900,19040,28760,29480
3680,6140,3000,2900,19040,28760,29480
3690,6140,3000,2900,19040,28760,29480
3700,6140,3000,2900,19040,28760,29480
3710,6340,3000,2900,19040,28760,29480
3720,6340,3000,2900,19040,28760,29480
3730,6340,3000,2900,19040,28760,29480
3740,6340,3000,2900,19040,28760,29480
3750,6340,3000,2900,19040,28760,29480
3760,6400,3000,2900,19040,28840,29480
3770,6420,3000,2900,19040,28880,29480
3780,6420,3000,2900,19040,28920,29480
3790,6420,3000,2900,19160,28940,29480
3800,6420,3000,3020,19340,28940,29480
3810,6420,3000,3220,19380,28960,29480
3820,6540,3000,3300,19440,29000,29480
3830,6620,3000,3300,19440,29000,29480
3840,6640,3000,3300,19440,29000,29620
3850,6700,3000,3300,19440,29040,29700
3860,6760,3000,3300,19440,29320,29700
3870,7300,3000,3300,19440,29420,29700
3880,7740,3000,3300,19440,29620,29720
3890,7940,3000,3300,19440,29620,29720
3900,8240,3000,3300,19540,29620,29720
3910,8640,3000,3400,19540,29620,29720
3920,8940,3000,3400,19540,29620,29720
3930,9040,3000,3400,19540,29620,29760
3940,9040,3000,3400,19540,29620,29840
3950,9080,3000,3400,19540,29620,29840
